Time	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	C1	C2	C3	C4	C5	D1	D2	D3	D4	D5	rep	exp
15600	73.44700547	45.82473152	19.85975677	5.820737506	-0.213699443	26.33878481	11.77235034	9.010591984	1.444357303	1.918107476	62.22422428	39.24775014	13.80435256	5.549604441	1.829708294	56.9235142	42.25669422	21.44437772	7.707831797	1.048836693	C	CS
16200	73.9765643	51.16784033	22.97889279	7.760882161	0.009670464	27.89202589	12.71044909	9.634677881	1.768909202	1.961401454	63.58967656	42.56052847	15.61927647	6.410242784	2.141008851	58.03921484	45.28095075	24.29648524	9.436637204	1.417840517	C	CS
16800	74.65579093	57.02296821	26.06439687	9.427455086	0.298491745	29.03495229	13.79048296	10.10518817	2.142512918	1.975295855	64.96528508	46.90147001	17.87578269	7.330100395	2.493902534	58.99794135	48.50050461	27.40214652	10.64745213	1.949819938	C	CS
17400	74.86614606	62.50049727	29.18540003	10.68196387	0.677318937	30.49760298	15.05285155	10.86156278	2.664472419	2.048684677	64.7018581	50.34682819	20.26177912	8.701784137	3.102674653	59.72784353	50.69793087	30.05573038	11.83553891	2.647538696	C	CS
18000	74.52761536	67.82003833	32.53841615	12.05379921	1.136859305	32.07405058	16.5426641	11.73222417	3.33774574	2.11184252	65.46965092	53.50360416	22.84683444	10.11982732	3.745285367	60.38134478	53.74889293	33.58914783	13.18177476	3.582263693	C	CS
18600	73.87830808	73.39111367	35.89331355	13.76509365	1.718875596	33.52672066	18.12718358	12.72458271	4.214011735	2.187019516	66.13373542	56.8249175	25.45573535	11.59052965	4.497836558	60.19915577	55.68552655	36.48802794	14.8385132	4.765702901	C	CS
19200	72.23719529	77.91375867	39.36206581	15.83638733	2.436093243	35.45008107	19.74585915	13.68890026	5.328866149	2.324460583	66.29905968	59.57596197	28.65849938	13.23682976	5.389487078	59.26904367	57.79049515	39.76917057	16.77562366	6.034903449	C	CS
19800	70.30274907	81.77407474	43.2050752	18.22187076	3.180053476	37.47338186	21.66326526	14.8734911	6.736348967	2.426412192	65.63691817	61.81732597	31.84799659	15.09094402	6.46642902	58.46353296	59.14558237	42.51752771	18.98196789	7.098846163	C	CS
20400	69.06015956	84.45408727	47.21574938	20.67095286	3.92293655	39.48609353	23.7382497	15.9563181	8.116925498	2.627120583	65.67898623	64.01387402	34.66543678	17.09162326	7.396847371	57.36789211	60.90998788	44.64904239	21.46140545	8.054402472	C	CS
21000	68.08183509	85.11483881	51.42739871	23.17183692	4.759923548	41.35683193	25.78184164	17.22959262	9.066398379	2.823152098	66.23787034	65.886512	37.27091429	19.37796909	8.210318036	56.14488277	61.89459606	46.54197408	24.19101997	9.118298884	C	CS
