Time	E7	E6	E5	E4	E3	E2	D7	D6	D5	D4	D3	D2	C7	C6	C5	C4	C3	C2	B7	B6	B5	B4	B3	B2
30865.79391	19.50419663	40.14533235	45.45219902	17.61134782	34.66794978	42.30653466	22.49887379	33.08437423	39.50155831	36.54136228	51.17256634	43.79447373	22.05906692	43.85795914	39.35525433	33.512744	50.34190205	42.65346835	39.56597047	46.12279276	43.01454257	46.75327552	50.90167701	40.68123455
31765.79391	22.32837273	43.39767974	44.58786508	19.50478426	37.20326605	42.70872718	23.69793576	33.78753302	39.80467338	38.88526642	51.69749504	43.79416641	23.82839403	46.21826983	39.16012269	35.58511594	48.8494683	42.88860552	41.53347392	45.25346277	42.90839801	48.62361605	49.84311117	39.82539022
32665.79391	25.3856545	45.83691329	43.83541652	21.55156172	39.33655992	42.46810388	24.83551807	35.38295739	40.19266105	41.21144996	52.10169494	43.41449823	25.50446947	46.67359154	38.90817808	37.6554539	47.73750114	41.24107658	42.80052125	45.31482599	41.94028272	49.56619502	48.59920327	38.55808628
33565.79391	28.4436346	46.76737846	43.37144316	23.57175473	40.26908165	42.55287264	26.00901051	36.66212358	39.5925544	42.56625312	53.64988276	43.40981767	27.28741758	47.57982679	39.30741642	39.90085697	47.20060642	41.00983915	42.32251311	44.97163446	41.23369089	49.72005511	47.2168532	36.96078986
34465.79391	31.25350219	46.46236121	41.956239	25.54407987	40.88222834	42.35337982	27.17139062	37.61807296	37.59745871	42.92855806	56.43459112	43.41898785	28.96756619	46.36277192	39.03155069	41.62959451	47.18419294	39.25864843	43.06376816	44.88033187	40.08779626	49.39559686	47.19466234	35.39118924
35365.79391	33.95255072	45.41791241	40.73305994	27.55604679	41.16829731	42.47963262	28.3791901	38.01209609	36.92994558	43.42108712	59.43491637	42.99754519	30.76810091	45.4221669	38.87372374	43.0815295	46.38468517	37.38581212	43.34837668	44.9778203	38.82460002	48.97806731	46.74108162	33.4200117
36265.79391	36.40971077	44.45952898	39.62941935	29.70133682	41.25656283	43.23391046	29.54982697	38.26471442	35.93512265	43.84790861	63.82177432	42.8943257	32.61249163	43.14869432	38.48551063	44.25962455	46.28289388	35.09607661	43.16952323	44.25203658	37.46022002	48.81504404	45.88434975	30.99128252
37165.79391	38.56601434	43.53945138	38.60765888	31.80365183	41.61295701	43.38944702	30.88073838	38.33767048	35.33410029	43.97226122	68.57019045	42.59631951	34.30765873	42.57493009	38.20038536	44.80352786	45.64023336	31.40520214	42.86452311	43.16278431	35.75857049	48.62109364	45.04840413	28.88580736
38065.79391	40.1010716	42.77722523	37.33373358	33.7533928	41.93816138	43.84984249	32.09026853	38.54949067	34.63726013	43.97975025	74.68853041	42.53385631	35.58792029	41.72715321	37.37432882	45.39747716	44.72188559	27.81179902	43.04924499	41.97256411	33.30092247	47.28909784	44.01189765	26.58171466
38965.79391	41.28274843	41.903141	35.8310199	35.44570696	42.38443558	44.62312547	32.72422872	38.41930618	33.65976026	44.21262478	81.55521687	42.55290161	36.42228647	41.10465027	36.35573651	46.01531883	44.04062889	24.38118167	42.75144492	39.98546766	31.22942323	46.57530044	42.24207087	24.55446924
39865.79391	41.76313924	40.98200899	34.80685768	37.37660095	42.56502939	45.04786482	33.15801655	37.74049111	32.5748923	43.91470133	87.99036919	42.64689562	37.46322739	40.63239448	35.21058499	46.03413263	42.51652795	21.30005883	42.38840081	37.77241461	29.08552768	45.3302029	40.26710987	22.6471426
40765.79391	41.84131656	39.67781451	33.51508086	38.5299399	42.93757777	44.9038504	33.71334901	36.98003337	31.07507673	44.01734619	93.11455974	42.56837462	38.13936015	39.7319046	33.6949417	45.25864977	40.94593243	19.00207016	42.04092349	35.7782957	27.34596913	43.82254548	37.05271714	20.9232015
41665.79391	41.92349402	38.17690781	31.83236992	39.48539632	43.63704453	45.29955867	34.43448527	35.69180743	29.42261804	43.9981085	97.77631981	42.65970745	38.92998194	38.70589814	31.97397217	45.51965606	38.88946476	17.25841772	42.10798508	33.23461504	25.41347338	43.67309006	34.57230853	19.31709226
42565.79391	41.01998966	36.95565976	30.38827398	39.80041248	44.06511133	44.75961866	34.62245946	35.10195674	27.75204962	44.24440214	100.9301299	42.78716959	39.31616776	37.736607	30.09756678	44.91062557	36.58554712	16.06842045	41.87748486	30.09510678	23.99088777	42.72529635	32.24293815	17.60337843
43465.79391	40.61649107	36.01737515	28.58317332	40.06436408	44.17385411	44.07819254	34.31146846	34.3418873	25.81373282	44.38398052	102.1347408	42.98401593	39.11374513	37.0573126	28.19164712	45.11205865	34.06712389	15.25062331	41.63991389	27.51734783	22.65502826	41.17325307	29.57763877	16.26611984
44365.79391	39.73819489	35.10265808	27.23694198	40.47382532	44.32920544	43.57809968	34.52210551	34.73794032	24.04965076	44.72695922	105.1447252	43.7404684	39.08424661	36.11576784	26.22133244	44.69733048	31.84721736	14.60637649	40.92979287	25.37940978	21.59828479	39.14553073	26.94605023	15.08325558
45265.79391	39.10294251	34.02078058	25.88600499	40.44345212	43.83449748	43.27009332	34.54659858	34.25480506	22.74793865	45.44029662	108.0308424	44.81155168	38.7574855	35.21640774	24.69587743	44.32644439	30.09979272	14.14465851	39.98096539	23.79512553	20.56096863	37.87916907	23.68001675	13.81666763
46165.79391	38.2473471	33.1328807	24.9382929	40.93496453	43.97162895	43.22699176	35.21855008	33.64586791	21.67918274	46.07837494	110.5794729	46.14323823	38.93249274	33.69033105	23.1196459	43.69463183	28.79110083	13.72004413	39.46386824	22.63183517	19.48385124	35.61119898	20.86929023	12.8263866
47065.79391	37.38961382	31.96637079	23.68707575	40.67267748	43.82232192	43.40325807	33.55478012	32.85996523	20.81460404	47.47978483	114.019803	47.80485013	38.57432133	31.95423597	21.51525396	43.38383818	27.99473665	13.52152503	38.36834017	21.48192147	18.68006777	33.18367043	18.91137011	12.28207626
47965.79391	36.36229055	30.89967731	22.70764831	40.17888481	43.07620784	43.78224538	33.1150986	32.10741103	19.94946078	49.45154355	117.0540729	49.3763885	38.72752054	29.42411792	20.02563539	42.48307084	27.64013373	13.3218715	36.65405515	20.13087212	17.91787037	30.51713771	17.89441724	11.85609114
48865.79391	35.33596824	29.6639967	21.58539258	40.29622763	42.38315791	44.59914627	31.71855116	31.12685329	19.30390851	51.86852928	117.4049226	50.60346172	38.33903154	26.85297685	18.59435633	41.08848056	27.22552867	13.14355951	34.60854523	18.87370501	17.19170166	28.43334736	17.18132897	11.61480923
49765.79391	34.10380441	28.26953732	21.08394317	40.64928865	40.86082959	46.06262979	30.47752908	30.01570992	18.65296316	54.44446967	112.9622403	51.63725529	37.96639876	24.60869253	17.49305102	39.36469983	26.50624069	12.94335745	32.93605197	17.86478334	16.42961644	26.26038431	16.64605175	11.39972101
50665.79391	32.80454344	27.25686992	20.56227648	40.93516938	39.18595838	47.75122694	29.82046652	28.89774684	18.17511397	56.82211591	100.3468935	51.8443584	37.07955087	22.86880534	16.60759557	37.06498234	25.35422107	12.64377563	31.32435654	17.05323725	15.79263991	24.36923033	16.0117901	11.31506
51565.79391	31.1032265	25.90745382	20.07004452	40.78007275	36.77570416	49.38650019	29.80791811	27.43019866	17.48050988	58.59492726	83.34388448	52.09132922	36.21413089	21.72162414	15.79411276	33.95914255	23.77488066	12.36326757	29.61770213	16.34655823	15.12215952	22.59394373	15.2958181	11.1319067
52465.79391	29.39497732	24.83318057	19.45699885	40.81420019	34.47032366	50.96480095	29.32247031	26.3945093	16.96112493	60.16157172	65.19024348	51.92132101	35.30658624	20.99380632	15.04295735	30.83489262	22.23061628	12.02513245	28.22711321	15.72094273	14.49562473	20.92405458	14.69712335	10.90639122
53365.79391	27.9574519	24.07988481	18.77394262	40.08879877	31.89329193	51.88221733	28.08160266	25.26399328	16.57129397	61.78263026	45.64954667	50.18915226	34.00099719	20.07998749	14.42027388	27.81753049	20.64375375	11.63094774	26.92513906	15.06313755	14.07787395	19.52909607	14.08784296	10.75844388
54265.79391	26.44563166	23.37767342	18.2443295	39.64673903	29.37275344	52.14942305	27.72740433	24.19247253	16.07144239	63.49271091	22.94696925	45.60211422	32.25446588	19.04639477	13.83086989	25.49838579	19.00680185	11.01347321	25.65943923	14.56314247	13.65436947	18.27801038	13.34644287	10.69092554
55165.79391	25.30319985	22.66171238	17.80210584	38.93128919	27.54004844	51.34772585	26.91376496	23.57116681	15.57922643	65.34156073	12.37160605	39.8690955	30.46759406	18.05510386	13.21294766	23.74632207	17.94729351	10.3852815	24.24858632	14.10300015	13.27949076	17.14037045	12.82042274	10.50102292
56065.79391	23.85081819	21.86101101	17.39644882	37.80385998	26.6407103	46.59670753	25.48164051	22.9806849	15.15361725	68.57055364	10.46411034	34.51227832	29.07216923	17.07605293	12.69901689	22.61555528	17.56416013	9.925730719	22.90940091	13.677916	12.90629833	16.00423871	12.29618769	10.28841925
56965.79391	22.61086467	21.22395457	17.06061965	36.70155853	26.0076893	41.17703209	24.47758668	22.02591906	14.76801781	71.23440956	9.835389408	30.14302432	26.76914385	16.18285271	12.23837396	21.75124277	17.35604005	9.498680331	21.750844	13.352187	12.65258793	15.10762025	11.7650611	10.15984919
57865.79391	21.27603087	20.62908296	16.7365325	35.19524343	25.51007687	35.73437311	23.53748387	21.28132211	14.41101584	73.50989166	9.410810143	26.1349433	24.34262717	15.29680884	11.89930139	21.10912303	17.14686381	9.148375163	20.73419641	13.04610087	12.35379359	14.33416681	11.35656722	10.0519923
58765.79391	20.13142653	20.15484984	16.47223355	33.76435379	25.12537864	31.84125201	22.3932285	20.51728385	14.07499666	75.85378627	9.09129023	22.79203836	21.78558655	14.47314478	11.51313195	20.55165409	16.87662481	8.88480035	19.85025434	12.78998271	12.11279282	13.72835438	10.9519892	9.648264003
59665.79391	18.97379348	19.76013866	16.17132161	32.03172773	24.78471669	27.9715102	21.88829332	19.86187709	13.79981227	77.30515977	8.899922701	20.0766862	19.39553958	13.72430692	11.15202464	20.04794594	16.81812737	8.566506798	19.05562916	12.55181955	11.83726127	13.32775744	10.63168982	9.480289551
60565.79391	17.89301875	19.37119698	15.93013124	29.89905423	24.28646751	24.76808904	20.74029281	19.12492186	13.2979963	74.77526028	8.482669719	18.12810871	17.13209753	13.04810011	10.74727418	19.43275172	16.68441675	8.378093128	18.30810743	12.35480426	11.587992	13.02447785	10.32331065	9.280853894
61465.79391	16.88299945	19.03033862	15.58609141	27.7456018	23.73126559	22.92484314	20.03524781	18.36235191	12.46380033	66.59576315	7.780600271	16.64865351	15.87425736	12.48972634	10.3662462	18.44341241	16.33406204	8.149369619	17.65471913	12.13780278	11.33020913	12.64024208	9.978753038	9.049168936
62365.79391	16.16795364	18.63507648	15.20696866	25.48833722	23.34791558	21.33493016	19.4724513	17.50754052	11.62412188	56.98337346	7.027379378	15.54234023	14.9849523	11.91061087	9.915001462	17.46550843	16.10428921	8.045793928	17.09533142	12.01210914	11.12564681	12.34555168	9.733826172	8.85602453
63265.79391	15.61579844	18.39828612	14.84361581	23.61103117	23.08164828	20.14047175	18.89240238	16.69360964	10.8214864	49.34236583	6.458813713	14.67119201	14.14912118	11.43048951	9.55205187	16.64660089	15.88403968	7.914675484	16.55861847	11.82252515	10.94849326	12.01362084	9.444674343	8.688103629
64165.79391	15.22527321	17.87706066	14.52410856	22.20936629	22.66612942	19.54348215	17.86239083	15.90293349	10.19317523	43.17219748	5.912820169	13.91775014	13.34496281	10.9238875	9.193826723	15.93138626	15.68357213	7.795040263	15.99199573	11.62115492	10.73462045	11.72294303	9.196767564	8.355208553
65065.79391	14.83552078	17.65014715	14.25343489	20.89300868	22.19579708	19.113528	17.26697493	15.21579537	9.537294102	37.09388221	5.47866531	13.40881198	12.5231385	10.54709663	8.855870629	15.29950341	15.49275806	7.682372395	15.48978023	11.46899694	10.5405205	11.39363017	8.949735025	8.189166131
65965.79391	14.53422007	17.41987683	13.96021793	19.84349022	22.23608271	18.67751261	16.5871165	14.58041756	8.883812349	31.34722881	5.03056876	12.94544684	11.68752755	10.03754909	8.639765437	14.68307688	15.38310304	7.618046029	15.02217152	11.36350413	10.37565081	11.12688239	8.696558879	8.028173804
66865.79391	14.27882508	17.19019713	13.7089935	18.74976554	22.17884317	18.35389827	15.75531872	13.97252784	8.340163248	26.45300908	4.665966946	12.5924208	10.91813352	9.716132066	8.371082174	14.2102988	15.27733545	7.541347098	14.61479106	11.20117426	10.26628759	10.78357176	8.51260586	7.979016684
67765.79391	13.98084008	17.04788517	13.50795251	17.87466807	21.78968993	18.07708333	15.10593355	13.39727982	7.891390391	22.54265653	4.415515837	12.25863327	10.24011905	9.347362528	8.165677636	13.73708524	15.20745912	7.50588343	14.15640041	11.09758186	10.17637019	10.63651501	8.244035891	7.892860528
68665.79391	13.75087859	16.87022804	13.298568	17.18594108	21.18273239	17.77504134	14.54155163	12.90273032	7.472199181	19.79434973	4.170618264	11.98323266	9.656895498	8.995770125	8.024544535	13.44190167	15.12147079	7.454753323	13.78054947	11.01661824	10.01899454	10.32435906	8.068109651	7.747833386
69565.79391	13.42336571	16.78335758	13.14585213	16.73396753	20.01240137	17.51297613	13.97005773	12.4806419	7.136622065	17.81271971	3.995607889	11.81306198	9.105416333	8.683115389	7.926457156	13.16787422	15.08880349	7.417012052	13.42761681	10.9216889	9.90346268	10.04334376	7.818466247	7.672808904
70465.79391	13.23299486	16.68583294	12.98774398	16.21781549	19.42051635	17.18327175	13.31763285	12.06306835	6.800038647	16.31279501	3.867520366	11.67993178	8.591446388	8.42868812	7.761858693	12.92479373	15.03261716	7.397131136	13.07695728	10.85977225	9.82490255	9.752802964	7.692459935	7.333247893
71365.79391	13.04983107	16.60437345	12.86603572	15.82592091	18.65123951	16.92092865	12.94386684	11.71456089	6.52365303	14.97343892	3.768730236	11.54331358	8.23331833	8.236517895	7.681543898	12.77911124	15.04796849	7.342814058	12.81762956	10.79010458	9.727452383	9.511329081	7.462835096	7.072088176
