Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
20700	46.76406839	42.41097862	22.00499889	4.98135638	0.481478865	54.4552604	48.72017841	24.84064814	9.016720442	0.990431551	46.67681235	33.59517385	19.14946118	7.864432985	1.391195664	56.78598306	57.93742206	36.30075144	12.22411421	1.389278948
21600	44.34843275	45.76313085	25.8715626	6.862350794	0.761334882	52.2658999	50.97851544	28.51193219	10.17039944	1.576700171	47.86864877	35.91420414	21.29933195	8.85276786	2.132352556	54.45941362	59.56730151	42.43065204	14.94126896	2.392128477
22500	42.85140811	48.10261826	29.80735317	8.067223956	1.051471676	51.10687698	52.83731915	32.62768496	11.82139048	2.335585294	49.34271287	37.57820326	23.92959045	10.63195585	3.130751154	52.94380088	59.49552948	48.49857023	18.65867448	3.772367994
23400	41.98158056	49.45560067	34.33070037	9.508050906	1.551336719	49.64414157	53.77552465	36.09440302	13.89119663	3.291880021	48.30483321	38.95367674	26.62953561	12.46819382	4.353056746	51.23156631	59.22109752	52.90876192	23.43605233	5.294944035
24300	40.31430342	50.93911238	38.66031177	11.62915506	2.278267628	48.58879024	54.23074863	39.25797261	16.10692114	4.267346068	48.14410533	40.11910908	29.2955514	14.88410379	5.594486211	48.95297791	58.83100011	55.1746306	29.12212747	6.532485587
25200	38.83148252	51.31662496	43.15784632	14.33851334	3.252237352	47.2022864	53.22105008	41.98392451	18.81797786	5.24123213	48.3760882	41.12311269	32.12246205	17.24141742	6.694309864	46.35099574	56.93274996	58.82386468	35.73020633	7.95173366
26100	36.69865263	50.58239796	46.98130888	17.37889801	4.386101482	45.77477831	51.35588835	44.58576084	21.43649213	6.171701875	46.86615019	41.79210402	34.86681745	19.75347386	7.71235392	43.03522491	53.75917424	59.82533434	41.50625172	9.809532145
27000	34.68139431	48.13316699	49.7340623	20.77405434	5.495773614	44.22004294	48.91780679	46.69380769	24.35360587	7.225030548	46.24198499	42.05522986	37.20974176	22.40748709	8.80775241	38.29677475	51.22145706	59.21859665	47.30571607	12.09569833
27900	32.80292705	47.36099955	51.9648184	24.56592872	6.656665067	43.32362556	47.05095795	48.65022022	27.55729233	8.361185951	43.71810665	42.503299	39.61889183	25.15437416	10.04140792	33.74751329	48.94489599	59.20793449	52.3791102	14.90395393
28800	31.18999763	46.59116984	53.56002631	28.54970803	7.977406589	41.28314057	45.14377215	49.79978117	30.79399099	9.756508398	42.60335121	42.53586485	41.42115733	27.9056879	11.3327872	29.58472469	46.94480416	57.74473978	55.89117228	18.20432307
