Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	E7	D7	E2	E3	E4	E5	E6	D6
31846.64073	44.49750453	52.48997671	42.66401445	43.54372439	51.31710746	45.06273771	46.51350281	47.95836717	22.75665474	34.67671072	43.29535905	51.41848031	47.53084861	58.18269656	36.49142094	21.77088471	35.50079719	9.549854515	44.80119096	44.83132652	41.07816949	42.50300036	50.80314467	13.33014087
32746.64073	42.08307307	52.05415471	45.78107946	42.3444844	49.65177097	47.44277979	45.6224335	50.78161698	25.30283126	31.95383974	41.94189195	50.37730513	46.42344444	58.28308104	38.7277159	22.3087093	39.79471232	10.29579791	41.90558395	44.82486043	43.60494543	41.03826347	50.40540069	14.66564147
33646.64073	39.69698146	51.27003824	47.6645947	40.82668685	48.91920195	48.39969648	43.5851923	53.34799806	28.13422383	29.99049535	40.31317039	47.71640125	45.92796936	56.99526988	40.85337349	23.24806447	42.65948093	11.21757613	38.97920631	44.42515253	45.1543086	40.13027061	49.22674741	14.8686318
34546.64073	37.03508099	50.4222508	49.76160442	38.75033843	48.07588286	48.49703409	42.13695651	55.32913504	31.11554879	27.83687534	38.67068314	46.09122705	45.42504157	56.44997392	42.61188654	24.07257943	44.872771	12.2441787	35.83979126	43.97280768	46.2958464	39.66554684	48.47100467	16.15535026
35446.64073	33.92739072	48.68016257	51.06414242	36.99099833	46.88369616	47.95042674	41.46116797	56.64281384	34.13257441	25.80722482	37.62345431	43.30156912	44.48935659	55.74456912	43.93549542	25.05190626	46.88217641	13.13055424	32.81487012	43.31670522	46.74166504	38.09035493	47.07963639	16.94354415
36346.64073	30.89646215	47.29230215	51.53401421	34.46390168	45.72498896	47.53008759	40.18136479	56.80300913	37.09846385	23.99109987	36.23007481	41.2502071	43.87741332	54.46455278	45.30258536	25.84246405	47.93854522	14.0844484	28.7833003	42.42610058	47.14351949	35.87744244	46.07322708	17.45314959
37246.64073	28.09367131	45.29880699	51.25242442	32.13062565	43.71026166	46.09438779	38.6652494	55.36234532	40.0965245	22.36267827	34.6676209	39.79333046	42.80895316	52.98146117	45.18498092	26.36757137	48.36522924	14.80190359	25.9576873	40.88984184	47.27190377	34.449392	45.60855321	18.45702054
38146.64073	25.63057126	43.73144147	51.40801551	29.74515594	41.38326178	44.7507695	37.20397755	53.98732054	42.48963551	21.54322646	33.16420633	37.82863695	41.23721732	50.82283908	45.4242927	27.50508306	47.59220287	15.54119207	23.6795484	39.11414253	46.51222072	32.18457321	44.1780111	19.67496804
39046.64073	23.72749216	42.10702446	50.51811154	27.40240209	38.79048856	44.09369708	35.66293955	51.63299464	44.69823499	20.40926909	31.72577575	35.87081342	39.04390384	48.1062495	45.71291949	28.17324888	45.92976397	15.92245126	22.08250057	37.47969735	45.57542153	29.63895132	42.70091775	20.41014231
39946.64073	22.01609155	40.19026933	49.06105526	25.84980366	35.79366347	43.17657648	33.67323935	49.63644608	45.68725974	19.49140997	29.93569622	34.65279766	36.25262969	44.58651081	45.32481398	28.55975496	43.6179933	16.37988563	20.16776621	35.26135073	44.56701694	27.15331771	41.3895818	21.27731975
40846.64073	20.45222101	39.15721009	47.00482633	24.36737023	32.99766926	42.24432506	31.67820059	47.28098268	45.45939158	18.80194969	28.39047602	33.55962846	33.86387144	40.68524151	44.76466973	28.8829252	42.60534584	16.88847333	18.49204524	33.24060574	42.86418372	25.53318086	39.58212559	22.52448683
