Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7																								
37273.69447	37.09546408	38.55591046	25.91045592	35.94978387	42.38941326	31.37993942	39.56510676	41.52563303	43.88676311	40.98894314	47.72327712	35.79676814	27.92833153	23.80765269	45.1182148	41.69130356	44.30934497	32.75299883	36.64106475	48.02177913	46.06223916	33.49928933	41.92797551	36.86417926																								
38173.69447	36.83456881	39.68604104	28.62360619	35.46311041	41.50598972	34.47741287	38.5171958	40.14623812	45.00005798	39.77591664	45.97422869	39.36920068	25.08525415	21.28474995	44.48097605	40.80397633	43.05960934	35.22412766	35.13375942	46.74004041	45.5687756	32.84120382	40.91902792	39.36004235																								
39073.69447	35.83620347	40.26411874	31.26091118	34.13317002	40.79785839	37.5937492	37.49933603	39.73084657	45.41156408	37.70669897	44.89301466	42.4222122	23.01509403	19.17950329	42.82221861	39.79943989	42.13051277	37.5847208	33.8569612	44.24630146	44.41377203	31.89181686	39.93968559	42.00240804																								
39973.69447	34.93142805	40.44683761	34.4405468	32.82875582	40.12684601	40.0774182	36.15870455	38.06127933	45.00017408	35.8588631	43.59769845	44.16083704	20.89390785	17.55633137	41.62418337	38.70136937	41.38463084	39.15766055	33.04139155	41.99098234	43.2619608	31.15262032	39.14237214	44.01806186																								
40873.69447	34.34262382	39.80409024	37.30033769	31.7030288	40.14781004	42.09811512	34.902416	36.43198409	44.38971822	33.98993674	43.59168219	44.6460471	19.05745314	16.25153322	40.59929656	37.64665642	39.85668207	39.69813533	32.71468232	39.55291954	42.7247353	30.42254617	37.97870947	45.59882784																								
41773.69447	32.66502743	40.36590392	38.80478814	30.14878317	39.32678556	43.71010827	33.42209923	35.33644334	43.21746109	32.03719265	42.1393715	45.14886788	17.62118835	14.95088154	39.330844	36.64759921	38.00554438	39.87365037	32.31382826	36.67872974	41.73760438	30.01953811	36.88352016	46.07905368																								
42673.69447	31.37389911	39.53757842	39.21318832	28.77417473	38.7800929	43.62253276	31.52382513	34.23263348	41.76256681	30.18786751	40.09610395	44.73430299	16.5004957	13.87041145	38.05428141	35.26799431	36.29219504	38.89058168	32.17504824	33.51290036	40.34713707	28.97135457	36.10812965	45.4214309																								
43573.69447	30.06210369	39.49309299	39.71744099	26.79689846	38.23575987	43.64958504	29.7930721	32.71332646	40.37012784	28.38521313	38.82368278	43.85871843	15.48877533	12.91685096	36.57606791	33.59317412	34.77069125	38.49763	31.59789349	30.01159772	38.80061232	28.21236442	34.69979715	43.95430576																								
44473.69447	28.69608839	38.90893545	40.47589235	25.30075783	37.66201175	42.7743222	27.98398287	30.91876533	38.828042	26.2886441	37.15843929	42.80169339	14.65915581	12.04422439	34.25534649	31.75199589	32.9617381	37.93550899	31.22651645	27.42675268	37.54638039	27.41208248	33.78857159	41.59858604																								
45373.69447	26.36396618	39.28487316	40.50376934	23.48151769	36.67244877	42.26279536	25.96090164	29.72085428	37.78805398	24.33526199	35.00953226	41.57073213	13.84549336	11.25243613	32.58489684	29.83957515	31.15909831	37.51754194	30.81500583	25.07967456	35.95438911	26.2631409	32.6465598	40.33041534																								
46273.69447	24.02494933	39.27263853	40.90365806	21.74019971	35.97357357	41.93336915	23.81880188	28.12432568	36.46797149	22.48980952	33.28232207	40.33555136	13.13758767	10.512191	30.61675499	27.45922077	29.55392384	36.47960672	30.20774871	22.89029549	34.38967527	25.33062828	31.66061238	39.05819262																								
47173.69447	21.77188197	38.91520948	41.10987457	20.33238359	34.60940451	41.13071356	21.63829581	26.28379425	36.12156727	20.82701667	31.50083641	38.88942064	12.38808266	9.765263909	28.28054622	25.40074037	28.07068015	35.49377379	29.30814852	21.47310793	32.89944791	24.48308644	30.6245733	38.22878047																								
