Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
44100	25.4369526	36.84894235	43.63683886	47.83109899	26.75176199	14.11093982	16.54284659	23.56356245	26.42828983	39.79785433	16.53611753	40.10979386	29.95608014	13.88736758	8.313881258	46.30380491	32.92936158	34.39451163	37.49324474	12.4087458
45000	24.28432541	34.91561158	43.23055415	48.85411384	29.88256312	13.7513451	16.19283646	23.54044119	24.71764209	37.73604239	15.36431812	39.99636288	32.01244623	15.3095424	9.198556437	45.91005349	32.29248388	34.39189926	37.16947678	13.87869628
45900	23.45401525	32.58050672	42.1079218	49.45286581	33.11789982	13.28621464	15.78705339	22.94294069	23.26147963	35.62206035	14.39461263	39.88821361	33.73341694	17.28321806	10.24779367	42.19514274	31.41780282	33.62690307	35.50171311	15.37098239
46800	22.64357826	31.33663827	41.05181222	49.6597486	36.4355641	12.94167379	16.38946136	21.70114651	21.92757846	33.5541136	13.57834549	39.30764683	35.13710889	19.1472966	11.48233302	39.83644797	30.36593545	33.01114792	34.88202582	17.03695891
47700	21.11268123	28.88470745	40.09985572	48.68459342	38.87544228	12.67043765	16.23926611	20.59705516	21.42754185	31.21533313	13.01128449	38.88744162	36.02920634	21.44518089	12.83733922	39.1017862	29.08818152	32.68642942	34.14291759	18.71949116
48600	19.59707805	27.56579928	39.42928925	47.85778479	41.06408622	12.40963655	15.50558968	19.58821741	21.37097237	29.0139784	12.54048136	37.98214688	36.6999927	23.79045018	14.56402075	39.55685591	28.10208207	32.1350845	33.43182908	20.52686773
49500	19.65631561	26.53071108	37.95361018	46.45768004	42.95249302	12.17034226	15.02857768	18.62390329	20.47633149	26.57589228	12.18290334	36.7391564	37.21117139	25.97682295	16.45580943	41.11501656	26.99114835	31.56225301	32.83906797	22.29616859
50400	18.42014138	24.97399078	36.56186024	45.50280692	44.71483465	11.94183723	14.77738356	17.85066989	20.08365242	24.36873267	11.81193742	35.48510822	37.79154466	28.59097379	18.76757631	43.58242571	25.78724933	31.02781554	32.20104205	24.04594851
51300	17.07727014	23.49720311	35.09798583	44.06900221	46.32443575	11.75101273	14.34426326	17.15853414	19.89136325	22.61368142	11.48726201	33.40786539	38.01106283	31.16736473	21.53141366	46.8306881	24.81675216	30.64604318	31.66226542	25.70841266
52200	16.22383699	22.47454448	33.57811079	42.273843	47.19358559	11.50772574	13.60586421	16.56199008	20.0430758	21.34022799	11.18112423	31.5208076	38.32472465	34.3545823	24.49792712	50.79011285	23.92653652	29.68850787	31.26462959	27.30653373
53100	15.38780165	21.82856	32.09674219	40.53716225	47.45197048	11.29888216	13.22792987	16.11386225	19.52016415	20.36094052	10.91748449	29.73918897	38.45017418	35.85366095	27.94493729	55.15840509	23.07851343	29.57911812	30.5507952	28.93831898
54000	14.54770692	21.2976329	30.11691566	38.06173636	47.0346993	11.14364081	12.88666258	15.58774326	18.83125119	19.48383174	10.64166478	28.13094708	38.21537975	37.72037518	31.17742028	62.40758643	22.59271163	29.05722885	29.89734684	30.38509104
54900	13.4357922	20.20241065	28.49868022	35.94831838	46.08219066	11.00164494	12.58369377	14.9493199	18.44038363	18.61248921	10.36298971	26.34259913	38.16763556	39.3495993	34.54062822	71.81945537	22.48891191	28.68801659	29.6489969	31.34115269
55800	13.08891331	19.66714361	27.14447023	33.69011111	45.45145807	10.87977356	12.25889795	14.5414698	18.13464171	17.55549381	10.18194643	24.98992785	38.34493291	41.11971551	36.2447152	78.46292705	22.36360169	28.25228071	29.36471986	32.10904558
56700	12.72774062	18.92000293	25.64108749	31.25324729	44.54342813	10.77265181	11.79833232	14.18315161	17.40994523	16.50655641	10.02938095	23.10462187	38.98523912	42.65125879	38.4587872	83.89230914	22.27276986	27.70662814	28.96746007	32.58183472
57600	12.16183818	18.26901452	24.35332454	28.9413502	43.12097351	10.76225494	11.4598213	13.82952032	16.31316906	15.75641801	9.926126392	21.48740082	38.8299442	43.56149311	40.66365864	91.7057376	22.37490786	26.80343265	28.34340717	33.07521783
58500	11.07833174	17.09577144	23.08340015	27.22513821	41.94758818	10.69049128	11.1823495	13.34520272	15.80471314	15.12119037	9.741929701	19.84307552	38.66182888	44.50624256	42.21916053	97.58993584	22.28320884	26.07616512	27.88791961	33.70901097
59400	10.52914404	15.92445316	21.86920284	25.66121479	40.79688324	10.63698202	10.87755158	12.85794514	15.32815217	14.49348838	9.700064209	18.63931329	37.82192593	44.27374476	43.51547913	100.1866704	22.10439115	24.86834478	26.91868824	34.29233024
60300	10.10061588	14.8710084	20.62894742	24.18357996	39.5742964	10.56597481	10.72201442	12.58316339	14.80716627	14.23811419	9.635288437	17.78983854	37.28865448	44.23466147	44.29141416	99.94989242	21.92580582	24.37513372	26.11473255	34.06592011
61200	9.686008539	14.06227359	19.47989783	22.80195795	37.90531773	10.50824067	10.52887023	12.34481813	14.41286648	13.80237931	9.662003892	17.13542102	36.77500311	43.9319075	45.42218861	97.21295171	21.53164741	23.83089488	25.3322139	34.60118333
62100	9.425928188	13.47235343	18.32804601	22.03265627	36.60106543	10.44490948	10.35538402	12.0234006	13.93439214	13.4891903	9.644216439	16.54667698	35.80750154	43.87783021	45.72213503	93.43317373	21.0730698	22.68982615	24.61363219	34.63500994
63000	9.266052095	12.92090973	17.44202051	21.07414449	35.02433408	10.32860379	10.19924118	11.7284906	13.5856911	12.86947268	9.649726832	16.0839944	34.77083622	43.91938508	45.34737791	87.90377182	20.47540099	21.57726018	23.74743933	34.55379755
63900	8.792965304	12.25423468	16.35955954	20.34668227	33.302658	10.25339201	9.963201594	11.41169683	13.32979828	12.14924168	9.66203798	15.59870765	33.43914061	43.43903606	44.47468715	79.25908284	19.62203934	20.63504613	22.84918429	33.99610878
64800	8.241044222	11.76512375	15.34433623	19.31806809	31.5238433	10.11081625	9.819729722	11.23343036	12.94455781	11.64657917	9.661542983	15.19232306	32.2004608	43.04840784	44.76403368	66.16223295	18.53571173	19.77959417	22.12021534	33.51456763
65700	8.100053583	11.15503313	14.31987393	18.2202541	29.91134729	9.88360055	9.550964143	11.11902002	12.7006166	11.31535203	9.673913796	14.7001888	30.77703271	42.54927652	44.30511974	47.91800602	17.22347716	18.98520466	21.32665279	33.08976151
66600	8.029788475	10.68204898	13.43241933	17.61348001	28.68460861	9.633080055	9.372586445	10.90409647	12.42376273	11.05135491	9.711202887	14.16584385	29.0034123	41.76275542	43.54275129	29.32256785	15.83306437	18.37370721	20.75549245	32.34214731
67500	7.545364537	10.08394739	12.68391141	16.99107257	27.18066172	9.446800822	9.143773817	10.66166477	12.23230457	10.76516692	9.666863087	13.65990694	27.48828496	40.89761796	43.12352531	16.20830352	14.58661381	17.95340087	20.26711095	31.30349771
68400	7.289151547	9.741715703	12.16784207	15.51004427	26.11041197	9.225782019	9.047123354	10.49260138	12.03917816	10.55985529	9.506437549	13.18144769	25.81646495	40.19186983	42.48009997	9.733743037	13.79314144	17.65856688	20.04794855	30.99555372
69300	7.004909102	9.170144921	11.57892343	14.4949612	24.46366456	9.08092275	8.896764058	10.2563678	11.85444402	10.32642658	9.419043043	12.6106057	23.8553479	39.15266221	41.02469888	6.943818077	13.15388746	17.19662815	19.96845343	30.21689279
70200	6.793833036	8.928606929	11.08509154	13.82670143	23.13045179	8.884273145	8.767230903	10.00861377	11.61607813	10.05925454	9.319004189	12.05749634	21.87970677	37.49177322	39.19219409	5.592259835	12.5567541	16.85961656	19.68093745	29.66647318
71100	6.747627143	8.705847177	10.57139251	13.19736269	21.80441185	8.727146927	8.630738315	9.806037182	11.37779066	9.762160251	9.21466549	11.54111188	19.77965731	35.54041925	37.33505704	4.829690807	12.02989897	16.47333827	19.5293351	29.0352134
72000	6.676795881	8.395652161	10.12117574	12.62373762	20.60107262	8.572489728	8.528532465	9.603418534	11.13841967	9.480744438	9.024650832	10.99423474	18.16390801	33.43303919	35.19764995	4.289913609	11.55940196	16.17077974	19.299775	28.5218739
72900	6.641836976	8.107734584	9.642545741	11.91872715	19.28869832	8.470307378	8.452456615	9.397722231	10.84816619	9.247202559	8.915346273	10.53561283	16.63651011	30.58902835	32.74396284	3.946378482	11.07976411	15.66150755	18.97050347	27.93068541
73800	6.518831171	7.815238389	9.19031458	11.14115647	18.32292257	8.409239324	8.362498609	9.304026151	10.57761583	8.989202318	8.83404042	10.17156472	15.44564752	28.47996578	29.82306787	3.613916564	10.6793466	15.15004812	18.58860642	27.4206859
74700	6.399400308	7.619419262	8.826177951	10.62327104	17.95878049	8.281614704	8.30686374	9.194316401	10.31274698	8.634751654	8.727222404	9.846141255	14.67142056	26.09573614	26.71852314	3.353762895	10.34396785	14.79834208	18.14951105	26.8633817
